Metropolitan area,Unemployment Rate,Rank,Year,Month,City/Area,State
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",4.2,174,2020,3,Orlando-Kissimmee-Sanford,FL
"St. Cloud, MN Metropolitan Statistical Area",4.2,174,2020,3,St. Cloud,MN
"St. George, UT Metropolitan Statistical Area",4.2,174,2020,3,St. George,UT
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",4.2,174,2020,3,San Antonio-New Braunfels,TX
"Savannah, GA Metropolitan Statistical Area",4.2,174,2020,3,Savannah,GA
"Tallahassee, FL Metropolitan Statistical Area",4.2,174,2020,3,Tallahassee,FL
"Terre Haute, IN Metropolitan Statistical Area",4.2,174,2020,3,Terre Haute,IN
"Warner Robins, GA Metropolitan Statistical Area",4.2,174,2020,3,Warner Robins,GA
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",4.2,174,2020,3,Waterloo-Cedar Falls,IA
"Wichita Falls, TX Metropolitan Statistical Area",4.2,174,2020,3,Wichita Falls,TX
"Brunswick, GA Metropolitan Statistical Area",4.3,198,2020,3,Brunswick,GA
"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",4.3,198,2020,3,Cape Coral-Fort Myers,FL
"Cape Girardeau, MO-IL Metropolitan Statistical Area",4.3,198,2020,3,Cape Girardeau,MO-IL
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",4.3,198,2020,3,Dallas-Fort Worth-Arlington,TX
"Flint, MI Metropolitan Statistical Area",4.3,198,2020,3,Flint,MI
"Jacksonville, FL Metropolitan Statistical Area",4.3,198,2020,3,Jacksonville,FL
"Memphis, TN-MS-AR Metropolitan Statistical Area",4.3,198,2020,3,Memphis,TN-MS-AR
"Morgantown, WV Metropolitan Statistical Area",4.3,198,2020,3,Morgantown,WV
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",4.3,198,2020,3,Myrtle Beach-Conway-North Myrtle Beach,SC-NC
"New Bern, NC Metropolitan Statistical Area",4.3,198,2020,3,New Bern,NC
"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",4.3,198,2020,3,Pensacola-Ferry Pass-Brent,FL
"Racine, WI Metropolitan Statistical Area",4.3,198,2020,3,Racine,WI
"Sherman-Denison, TX Metropolitan Statistical Area",4.3,198,2020,3,Sherman-Denison,TX
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",4.3,198,2020,3,Tampa-St. Petersburg-Clearwater,FL
"Walla Walla, WA Metropolitan Statistical Area",4.3,198,2020,3,Walla Walla,WA
"Columbus, OH Metropolitan Statistical Area",4.4,213,2020,3,Columbus,OH
"Decatur, IL Metropolitan Statistical Area",4.4,213,2020,3,Decatur,IL
"Gadsden, AL Metropolitan Statistical Area",4.4,213,2020,3,Gadsden,AL
"Greensboro-High Point, NC Metropolitan Statistical Area",4.4,213,2020,3,Greensboro-High Point,NC
"Greenville, NC Metropolitan Statistical Area",4.4,213,2020,3,Greenville,NC
"Hattiesburg, MS Metropolitan Statistical Area",4.4,213,2020,3,Hattiesburg,MS
"Lancaster, PA Metropolitan Statistical Area",4.4,213,2020,3,Lancaster,PA
"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",4.4,213,2020,3,Little Rock-North Little Rock-Conway,AR
"Odessa, TX Metropolitan Statistical Area",4.4,213,2020,3,Odessa,TX
