City/Area,State,Metropolitan area,Unified City,Unified State
Atlantic City-Hammonton,NJ,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",Atlantic City,NJ
Vineland-Bridgeton,NJ,"Vineland-Bridgeton, NJ Metropolitan Statistical Area",Vineland,NJ
Trenton,NJ,"Trenton, NJ Metropolitan Statistical Area",Trenton,NJ
Ocean City,NJ,"Ocean City, NJ Metropolitan Statistical Area",Ocean City,NJ
Santa Fe,NM,"Santa Fe, NM Metropolitan Statistical Area",Santa Fe,NM
Albuquerque,NM,"Albuquerque, NM Metropolitan Statistical Area",Albuquerque,NM
Farmington,NM,"Farmington, NM Metropolitan Statistical Area",Farmington,NM
Las Cruces,NM,"Las Cruces, NM Metropolitan Statistical Area",Las Cruces,NM
Las Vegas-Henderson-Paradise,NV,"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",Las Vegas,NV
Reno,NV,"Reno, NV Metropolitan Statistical Area",Reno,NV
Carson City,NV,"Carson City, NV Metropolitan Statistical Area",Carson City,NV
New York-Newark-Jersey City,NY-NJ-PA,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",New York,NY
Albany-Schenectady-Troy,NY,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Albany,NY
Buffalo-Cheektowaga-Niagara Falls,NY,"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",Buffalo,NY
Utica-Rome,NY,"Utica-Rome, NY Metropolitan Statistical Area",Utica,NY
Watertown-Fort Drum,NY,"Watertown-Fort Drum, NY Metropolitan Statistical Area",Watertown,NY
Ithaca,NY,"Ithaca, NY Metropolitan Statistical Area",Ithaca,NY
Kingston,NY,"Kingston, NY Metropolitan Statistical Area",Kingston,NY
Rochester,NY,"Rochester, NY Metropolitan Statistical Area",Rochester,NY
Elmira,NY,"Elmira, NY Metropolitan Statistical Area",Elmira,NY
Syracuse,NY,"Syracuse, NY Metropolitan Statistical Area",Syracuse,NY
Glens Falls,NY,"Glens Falls, NY Metropolitan Statistical Area",Glens Falls,NY
Binghamton,NY,"Binghamton, NY Metropolitan Statistical Area",Binghamton,NY
Youngstown-Warren-Boardman,OH-PA,"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",Youngstown,OH
Cincinnati,OH-KY-IN,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",Cincinnati,OH
Canton-Massillon,OH,"Canton-Massillon, OH Metropolitan Statistical Area",Canton,OH
Cleveland-Elyria,OH,"Cleveland-Elyria, OH Metropolitan Statistical Area",Cleveland,OH
Columbus,OH,"Columbus, OH Metropolitan Statistical Area",Columbus,OH
Dayton,OH,"Dayton, OH Metropolitan Statistical Area",Dayton,OH
Toledo,OH,"Toledo, OH Metropolitan Statistical Area",Toledo,OH
Akron,OH,"Akron, OH Metropolitan Statistical Area",Akron,OH
Springfield,OH,"Springfield, OH Metropolitan Statistical Area",Springfield,OH
Lima,OH,"Lima, OH Metropolitan Statistical Area",Lima,OH
Mansfield,OH,"Mansfield, OH Metropolitan Statistical Area",Mansfield,OH
Oklahoma City,OK,"Oklahoma City, OK Metropolitan Statistical Area",Oklahoma City,OK
Lawton,OK,"Lawton, OK Metropolitan Statistical Area",Lawton,OK
Tulsa,OK,"Tulsa, OK Metropolitan Statistical Area",Tulsa,OK
Enid,OK,"Enid, OK Metropolitan Statistical Area",Enid,OK
Portland-Vancouver-Hillsboro,OR-WA,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",Portland,OR
Bend-Redmond,OR,"Bend-Redmond, OR Metropolitan Statistical Area",Bend,OR
Corvallis,OR,"Corvallis, OR Metropolitan Statistical Area",Corvallis,OR
Eugene,OR,"Eugene, OR Metropolitan Statistical Area",Eugene,OR
Salem,OR,"Salem, OR Metropolitan Statistical Area",Salem,OR
Albany,OR,"Albany, OR Metropolitan Statistical Area",Albany,OR
Medford,OR,"Medford, OR Metropolitan Statistical Area",Medford,OR
Grants Pass,OR,"Grants Pass, OR Metropolitan Statistical Area",Grants Pass,OR
Allentown-Bethlehem-Easton,PA-NJ,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",Allentown,PA
Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",Philadelphia,PA
Bloomsburg-Berwick,PA,"Bloomsburg-Berwick, PA Metropolitan Statistical Area",Bloomsburg,PA
Chambersburg-Waynesboro,PA,"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",Chambersburg,PA
Harrisburg-Carlisle,PA,"Harrisburg-Carlisle, PA Metropolitan Statistical Area",Harrisburg,PA
Scranton--Wilkes-Barre--Hazleton,PA,"Scranton--Wilkes-Barre--Hazleton, PA Metropolitan Statistical Area",Scranton,PA
York-Hanover,PA,"York-Hanover, PA Metropolitan Statistical Area",York,PA
Gettysburg,PA,"Gettysburg, PA Metropolitan Statistical Area",Gettysburg,PA
Lancaster,PA,"Lancaster, PA Metropolitan Statistical Area",Lancaster,PA
State College,PA,"State College, PA Metropolitan Statistical Area",State College,PA
